<<<<<<< HEAD
timestamp,cpu_usage,memory_usage,response_time,error_count,failure,root_cause,cpu_ma,memory_ma,response_ma,error_ma,cpu_std,memory_std,response_std,cpu_change,memory_change,response_change,error_change,cpu_lag1,cpu_lag2,memory_lag1,memory_lag2,response_lag1,response_lag2,error_lag1,error_lag2,anomaly_label,anomaly_score,failure_probability,predicted_failure,predicted_root_cause,alert_status,recommended_action,auto_resolution,resolution_playbook,resolution_confidence,can_auto_execute
2025-01-01 00:04:00,43.6,3.67,140.53,1,0,NORMAL,47.756,3.998,185.408,0.6,4.249215221661524,0.3265271811044219,49.7922541164788,-10.54,-0.4900000000000002,-115.73999999999998,0.0,54.14,48.89,4.16,4.3,256.27,156.52,1.0,0.0,0,0.18565294193205656,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:15:00,41.63,3.33,174.34,0,0,NORMAL,39.692,3.41,191.036,0.2,5.460816788723061,0.8998055345462144,32.44266064921308,6.980000000000004,-0.4499999999999997,-62.69999999999999,0.0,34.65,33.52,3.78,2.96,237.04,149.89,0.0,1.0,0,0.1360885271706958,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:16:00,38.92,3.22,188.57,1,0,NORMAL,39.034,3.596,190.378,0.4,5.276668456516822,0.6795807531117983,32.45513164354751,-2.710000000000001,-0.1099999999999998,14.22999999999999,1.0,41.63,34.65,3.33,3.78,174.34,237.04,0.0,0.0,0,0.1572686282532073,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:17:00,46.89,4.7,150.28,0,0,NORMAL,39.122,3.5980000000000003,180.02399999999997,0.4,5.432630118091937,0.6836080748499092,35.87802154523013,7.969999999999999,1.48,-38.28999999999999,-1.0,38.92,41.63,3.22,3.33,188.57,174.34,1.0,0.0,0,0.16196195644203187,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:18:00,39.55,3.72,71.88,1,0,NORMAL,40.328,3.75,164.422,0.4,4.460450649878293,0.5834380858325923,60.66070490853198,-7.340000000000003,-0.98,-78.4,1.0,46.89,38.92,4.7,3.22,150.28,188.57,0.0,1.0,0,0.15350842735565196,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:19:00,36.53,4.21,190.45,2,0,NORMAL,40.704,3.836,155.10399999999998,0.8,3.9070679543616462,0.619540152048275,49.215957066788775,-3.019999999999996,0.4899999999999997,118.57,1.0,39.55,46.89,3.72,4.7,71.88,150.28,1.0,0.0,0,0.16452760456857385,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:20:00,53.79,3.97,320.63,0,0,NORMAL,43.136,3.964,184.362,0.8,7.104110077975977,0.5512077648219409,90.05209864295223,17.259999999999998,-0.2399999999999997,130.18,-2.0,36.53,39.55,4.21,3.72,190.45,71.88,2.0,1.0,0,0.14880618188237288,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:21:00,43.65,4.29,239.23,1,0,NORMAL,44.082,4.178,194.494,0.8,6.706125558025283,0.3671103376370664,93.4304887603613,-10.14,0.3199999999999998,-81.4,1.0,53.79,36.53,3.97,4.21,320.63,190.45,0.0,2.0,0,0.17608184704977287,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:22:00,45.41,4.05,199.04,3,0,NORMAL,43.786,4.048,204.246,1.4,6.582725879147627,0.2227554713132777,90.1489125281054,1.759999999999998,-0.2400000000000002,-40.19,2.0,43.65,53.79,4.29,3.97,239.23,320.63,1.0,0.0,0,0.17211568304764918,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:23:00,36.45,3.23,186.86,1,0,NORMAL,43.166,3.95,227.242,1.4,7.198616533751457,0.4219004621945801,56.22441791606207,-8.959999999999994,-0.8199999999999998,-12.179999999999978,-2.0,45.41,43.65,4.05,4.29,199.04,239.23,3.0,1.0,0,0.1780928360692764,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:24:00,41.73,4.6,201.12,1,0,NORMAL,44.206,4.0280000000000005,229.37600000000003,1.2,6.322537465290334,0.5090383089709463,54.65957948978387,5.279999999999994,1.3699999999999997,14.259999999999993,0.0,36.45,45.41,3.23,4.05,186.86,199.04,1.0,3.0,0,0.18074912686721356,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:25:00,45.67,3.7,227.36,1,0,NORMAL,42.58200000000001,3.974,210.72200000000004,1.4,3.774959602432829,0.5305940067509247,21.72321154894,3.940000000000005,-0.8999999999999995,26.24000000000001,0.0,41.73,36.45,4.6,3.23,201.12,186.86,1.0,1.0,0,0.1771477793305531,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:26:00,38.09,3.07,140.96,0,0,NORMAL,41.470000000000006,3.73,191.068,1.2,4.178995094517311,0.6216510275065906,31.66316345534662,-7.579999999999998,-0.6300000000000003,-86.4,-1.0,45.67,41.73,3.7,4.6,227.36,201.12,1.0,1.0,0,0.177369031540056,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:27:00,47.25,3.74,255.72,1,0,NORMAL,41.838,3.668,202.404,0.8,4.665396017488737,0.5967160128570372,43.25513703596371,9.159999999999997,0.6700000000000004,114.76,1.0,38.09,45.67,3.07,3.7,140.96,227.36,0.0,1.0,0,0.17927825910978723,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:28:00,41.4,4.9,235.77,4,0,NORMAL,42.828,4.002,212.186,1.4,3.651180630974019,0.7403512679802748,44.37697578700019,-5.850000000000001,1.16,-19.94999999999999,3.0,47.25,38.09,3.74,3.07,255.72,140.96,1.0,0.0,0,0.15824606525634566,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:29:00,43.25,4.51,235.91,1,0,NORMAL,43.132,3.984,219.144,1.4,3.599822217832409,0.7230698444825373,44.93207907497719,1.8500000000000012,-0.3900000000000005,0.1399999999999863,-3.0,41.4,47.25,4.9,3.74,235.77,255.72,4.0,1.0,0,0.1675589471737638,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:30:00,41.39,3.79,221.92,1,0,NORMAL,42.276,4.002000000000001,218.056,1.4,3.3453071607850613,0.7153111211214326,44.748887472204295,-1.8599999999999997,-0.7199999999999998,-13.990000000000007,0.0,43.25,41.4,4.51,4.9,235.91,235.77,1.0,4.0,0,0.18080589711076783,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:31:00,56.11,3.79,200.98,1,0,NORMAL,45.88,4.146,230.06,1.6,6.198330420363211,0.5289896029224025,20.230967599203115,14.72,0.0,-20.94,0.0,41.39,43.25,3.79,4.51,221.92,235.91,1.0,1.0,0,0.18261160952104993,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:32:00,44.92,3.81,233.64,0,0,NORMAL,45.414,4.159999999999999,225.64399999999995,1.4,6.1570309403153045,0.5163332257370246,14.950281937141016,-11.189999999999998,0.02,32.66,-1.0,56.11,41.39,3.79,3.79,200.98,221.92,1.0,1.0,0,0.18459894425226625,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:33:00,38.65,5.25,229.59,2,0,NORMAL,44.864,4.23,224.408,1.0,6.703788481150038,0.6485368146836394,14.137187485493872,-6.270000000000003,1.44,-4.049999999999983,2.0,44.92,56.11,3.81,3.79,233.64,200.98,0.0,1.0,0,0.16544394798934176,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:34:00,49.94,4.23,182.3,3,0,NORMAL,46.202,4.174000000000001,213.686,1.4,6.963703755904611,0.6301428409495748,21.59526290648025,11.29,-1.0199999999999996,-47.28999999999999,1.0,38.65,44.92,5.25,3.81,229.59,233.64,2.0,0.0,0,0.1734296470482387,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:35:00,37.67,4.26,171.32,1,0,NORMAL,45.458,4.268,203.566,1.4,7.7595856848159075,0.592469408492963,27.750805033367957,-12.269999999999996,0.0299999999999993,-10.980000000000018,-2.0,49.94,38.65,4.23,5.25,182.3,229.59,3.0,2.0,0,0.16749618428545726,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:36:00,46.25,4.62,205.09,1,0,NORMAL,43.486,4.434,204.388,1.4,5.20967657345443,0.5389155778041699,27.715904639755134,8.579999999999998,0.3600000000000003,33.77000000000001,0.0,37.67,49.94,4.26,4.23,171.32,182.3,1.0,3.0,0,0.188902728294791,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:37:00,33.24,4.14,277.45,2,0,NORMAL,41.15,4.5,213.15,1.8,6.786062923374626,0.45743852045931,42.3414649014415,-13.009999999999998,-0.4800000000000004,72.35999999999999,1.0,46.25,37.67,4.62,4.26,205.09,171.32,1.0,1.0,0,0.16305102332630367,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:38:00,37.03,3.84,138.04,0,0,NORMAL,40.82600000000001,4.218000000000001,194.84,1.4,6.971408035684021,0.2794995527724535,52.12042929600637,3.789999999999999,-0.2999999999999998,-139.41,-2.0,33.24,46.25,4.14,4.62,277.45,205.09,2.0,1.0,0,0.16194426328759726,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:39:00,46.18,3.88,126.62,1,0,NORMAL,40.074,4.148,183.704,1.0,5.856084869603558,0.3170488921286451,60.71000930653855,9.15,0.04,-11.419999999999987,1.0,37.03,33.24,3.84,4.14,138.04,277.45,0.0,2.0,0,0.1615166193255489,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:40:00,49.43,3.96,208.24,1,0,NORMAL,42.426,4.087999999999999,191.088,1.0,6.915036514726432,0.3189357302028123,61.07138339680868,3.25,0.08,81.62,0.0,46.18,37.03,3.88,3.84,126.62,138.04,1.0,0.0,0,0.19003155726089316,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:41:00,46.03,3.98,202.54,0,0,NORMAL,42.382,3.96,190.578,0.8,6.885257438905234,0.1157583690279043,60.935718753453614,-3.3999999999999986,0.02,-5.700000000000017,-1.0,49.43,46.18,3.96,3.88,208.24,126.62,1.0,1.0,0,0.18968231922959045,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:42:00,44.31,4.44,208.67,3,0,NORMAL,44.596,4.0200000000000005,176.822,1.0,4.616793259395531,0.241660919471893,40.88730145167318,-1.7199999999999989,0.4600000000000004,6.129999999999996,3.0,46.03,49.43,3.98,3.96,202.54,208.24,0.0,1.0,0,0.1839980218864289,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:43:00,43.19,4.03,212.2,2,0,NORMAL,45.828,4.058,191.654,1.4,2.366562908523688,0.2202725584361358,36.5195287483286,-1.1200000000000043,-0.4100000000000001,3.530000000000001,-1.0,44.31,46.03,4.44,3.98,208.67,202.54,3.0,0.0,0,0.18086488453327682,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:44:00,36.13,4.44,188.84,2,0,NORMAL,43.818,4.17,204.098,1.6,4.9022770219562215,0.2477902338672797,9.205102932613077,-7.059999999999995,0.4100000000000001,-23.359999999999985,0.0,43.19,44.31,4.03,4.44,212.2,208.67,2.0,3.0,0,0.17781256257973088,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:45:00,40.68,3.95,274.49,0,0,NORMAL,42.068,4.168,217.348,1.4,3.8460785223393272,0.2499399927982736,33.16248136071855,4.549999999999997,-0.4900000000000002,85.65,-2.0,36.13,43.19,4.44,4.03,188.84,212.2,2.0,2.0,0,0.17526666049751483,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:46:00,42.24,4.05,119.95,1,0,NORMAL,41.31,4.182,200.83,1.6,3.1870283964846964,0.2384743172754692,55.45690353779231,1.5600000000000025,0.0999999999999996,-154.54000000000002,1.0,40.68,36.13,3.95,4.44,274.49,188.84,0.0,2.0,0,0.16869277849001296,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:47:00,51.34,2.8,158.58,1,0,NORMAL,42.716,3.854,190.812,1.2,5.530490936616739,0.6190557325475631,58.14565306194435,9.1,-1.25,38.63000000000001,0.0,42.24,40.68,4.05,3.95,119.95,274.49,1.0,0.0,0,0.1761303774243086,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:48:00,47.06,4.55,194.84,2,0,NORMAL,43.49,3.958,187.34,1.2,5.873576423270573,0.6950323733467386,57.05736630795359,-4.280000000000001,1.75,36.25999999999999,1.0,51.34,42.24,2.8,4.05,158.58,119.95,1.0,1.0,0,0.17382781937560038,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:49:00,34.42,4.21,117.84,0,0,NORMAL,43.148,3.912,173.14,0.8,6.432458317004466,0.6619818728636004,64.88831212167563,-12.64,-0.3399999999999998,-77.0,-2.0,47.06,51.34,4.55,2.8,194.84,158.58,2.0,1.0,0,0.15594442173076423,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:50:00,46.94,4.6,191.21,0,0,NORMAL,44.4,4.042,156.484,0.8,6.441211066251437,0.731484791366164,37.11321503184536,12.519999999999996,0.3899999999999997,73.37,0.0,34.42,47.06,4.21,4.55,117.84,194.84,0.0,2.0,0,0.17654187075283923,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:51:00,42.69,2.26,283.07,2,0,NORMAL,44.49,3.684,189.108,1.0,6.406535725335495,1.0810781655366084,60.98610144942861,-4.25,-2.34,91.86,2.0,46.94,34.42,4.6,4.21,191.21,117.84,0.0,0.0,0,0.1357556926143244,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:52:00,40.94,5.25,201.04,1,0,NORMAL,42.41,4.174,197.6,1.0,5.201509396319486,1.1341648910101216,58.58127217806046,-1.75,2.99,-82.03,-1.0,42.69,46.94,2.26,4.6,283.07,191.21,2.0,0.0,0,0.14420354539393943,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:53:00,48.67,3.92,211.54,2,0,NORMAL,42.732,4.048,200.94,1.0,5.596192455589776,1.1168124282976082,58.85998173632066,7.730000000000004,-1.33,10.5,1.0,40.94,42.69,5.25,2.26,201.04,283.07,1.0,2.0,0,0.14898907253209193,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:54:00,51.19,4.66,136.99,1,0,NORMAL,46.086,4.138,204.77,1.2,4.227035604297663,1.150747583095442,52.36563233648576,2.519999999999996,0.7400000000000002,-74.54999999999998,-1.0,48.67,40.94,3.92,5.25,211.54,201.04,2.0,1.0,0,0.16967418623322128,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:55:00,50.59,3.38,169.18,0,0,NORMAL,46.816,3.894,200.364,1.2,4.700093616088956,1.1576182445003187,54.66797078729008,-0.5999999999999943,-1.2800000000000002,32.19,-1.0,51.19,48.67,4.66,3.92,136.99,211.54,1.0,2.0,0,0.17903393909881332,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:56:00,39.96,4.37,181.24,0,0,NORMAL,46.27,4.316000000000001,179.998,0.8,5.404946808248914,0.7117794602262709,29.180144276545278,-10.630000000000004,0.9900000000000002,12.060000000000002,0.0,50.59,51.19,3.38,4.66,169.18,136.99,0.0,1.0,0,0.1767422756239755,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:57:00,43.14,3.37,184.11,0,0,NORMAL,46.71,3.94,176.61200000000002,0.6,4.93137404786943,0.5792667779184301,27.03119068779615,3.18,-1.0,2.8700000000000045,0.0,39.96,50.59,4.37,3.38,181.24,169.18,0.0,0.0,0,0.18590885863600504,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:58:00,46.99,3.63,264.08,1,0,NORMAL,46.374,3.882,187.12,0.4,4.820428404198128,0.5960453002918482,46.90771951395633,3.8500000000000014,0.2599999999999998,79.96999999999997,1.0,43.14,39.96,3.37,4.37,184.11,181.24,0.0,0.0,0,0.186816146637658,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:59:00,50.85,5.15,227.88,1,0,NORMAL,46.306,3.98,205.298,0.4,4.737185873490728,0.7706490770772391,39.678391096414245,3.86,1.5200000000000005,-36.19999999999999,0.0,46.99,43.14,3.63,3.37,264.08,184.11,1.0,0.0,0,0.17798230926387454,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:00:00,42.12,3.89,144.43,0,0,NORMAL,44.612,4.082,200.348,0.4,4.318144277348779,0.7020826162211972,46.30170050872866,-8.730000000000004,-1.2600000000000002,-83.44999999999999,-1.0,50.85,46.99,5.15,3.63,227.88,264.08,1.0,1.0,0,0.18413868832111563,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:01:00,43.89,4.13,212.33,2,0,NORMAL,45.398,4.034000000000001,206.566,0.8,3.548826566627349,0.685477935458174,45.16781187970041,1.7700000000000031,0.2399999999999997,67.9,2.0,42.12,50.85,3.89,5.15,144.43,227.88,0.0,1.0,0,0.17938090598685952,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:02:00,38.36,4.52,224.91,2,0,NORMAL,44.442,4.264,214.72600000000003,1.2,4.749786310982842,0.5937844726834829,43.76021972065505,-5.530000000000001,0.3899999999999997,12.579999999999984,0.0,43.89,42.12,4.13,3.89,212.33,144.43,2.0,0.0,0,0.19006713570730444,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:03:00,37.82,4.3,257.01,1,0,NORMAL,42.608,4.398,213.312,1.2,5.262667574529086,0.4795518741491921,41.83882670439034,-0.5399999999999991,-0.2199999999999997,32.099999999999994,-1.0,38.36,43.89,4.52,4.13,224.91,212.33,2.0,2.0,0,0.18745189117012778,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:04:00,49.88,4.09,279.03,0,0,NORMAL,42.414,4.186,223.542,1.0,4.88737966603781,0.2369177072318591,51.44247777858303,12.060000000000002,-0.2099999999999999,22.019999999999985,-1.0,37.82,38.36,4.3,4.52,257.01,224.91,1.0,2.0,0,0.17658986458265657,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:05:00,53.14,4.22,149.25,1,0,NORMAL,44.618,4.252,224.506,1.2,6.823094605822203,0.170499266860598,49.60156328181611,3.259999999999998,0.1299999999999999,-129.77999999999997,1.0,49.88,37.82,4.09,4.3,279.03,257.01,0.0,1.0,0,0.1781336994960006,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:06:00,44.57,5.44,159.46,2,0,NORMAL,44.754,4.513999999999999,213.932,1.2,6.811723717239276,0.5407217398995565,57.80341702702364,-8.57,1.2200000000000006,10.210000000000008,1.0,53.14,49.88,4.22,4.09,149.25,279.03,1.0,0.0,0,0.16889512646858185,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:07:00,51.02,3.97,137.12,1,0,NORMAL,47.286,4.404,196.374,1.0,6.162846744808791,0.5926466063346711,66.33831871550562,6.450000000000003,-1.4700000000000002,-22.340000000000003,-1.0,44.57,53.14,5.44,4.22,159.46,149.25,2.0,1.0,0,0.175755397648531,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:08:00,47.17,4.12,188.3,1,0,NORMAL,49.156000000000006,4.368,182.632,1.0,3.3483772188928334,0.6058630208223656,57.11248173560664,-3.8500000000000014,0.1499999999999999,51.18000000000001,0.0,51.02,44.57,3.97,5.44,137.12,159.46,1.0,2.0,0,0.1739139777854749,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:09:00,41.13,4.63,223.32,3,0,NORMAL,47.406000000000006,4.476000000000001,171.49,1.6,4.832869747882753,0.5918868135040714,34.6033249847468,-6.039999999999999,0.5099999999999998,35.01999999999998,2.0,47.17,51.02,4.12,3.97,188.3,137.12,1.0,1.0,0,0.18031250585214115,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:10:00,47.17,4.66,249.37,1,0,NORMAL,46.212,4.564000000000001,191.514,1.6,3.65633969975441,0.5768275305496473,45.7040324260344,6.039999999999999,0.0300000000000002,26.05000000000001,-2.0,41.13,47.17,4.63,4.12,223.32,188.3,3.0,1.0,0,0.18444829339643481,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 01:11:00,54.23,4.71,196.2,0,0,NORMAL,48.144000000000005,4.418000000000001,198.862,1.2,4.909285080335053,0.3457889529756589,42.07127428543144,7.059999999999995,0.0499999999999998,-53.170000000000016,-1.0,47.17,41.13,4.66,4.63,249.37,223.32,1.0,3.0,0,0.17786646294025948,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
